:START_ID,:END_ID,:TYPE,source
ARS-0001,Kat_KA,mengatur,Stage3A
ARS-0001,Pej_NATALIUS_PIGAI,ditetapkanOleh,Stage3A
ARS-0001,Tgl_2025-07-08,berlakuPada,Stage3A
Lem_KEMENTERIAN_HAK_ASASI_MANUSIA,ARS-0001,menerbitkan,Stage3A
ARS-0002,Kat_KA,mengatur,Stage3A
ARS-0002,Pej_YANDRI_SUSANTO,ditetapkanOleh,Stage3A
ARS-0002,Tgl_2025-03-25,berlakuPada,Stage3A
Lem_KEMENTERIAN_DESA_DAN_PEMBANGUNAN_DAERAH_TERTINGGAL,ARS-0002,menerbitkan,Stage3A
Lem_KEMENTERIAN_DESA_DAN_PEMBANGUNAN_DAERAH_TERTINGGAL,ARS-0004,menerbitkan,Stage3A
ARS-0003,Kat_KA,mengatur,Stage3A
ARS-0003,Pej_YUSRIL_IHZA_MAHENDRA,ditetapkanOleh,Stage3A
ARS-0003,Tgl_2025-02-11,berlakuPada,Stage3A
Lem_KEMENTERIAN_KOORDINATOR_BIDANG_HUKUM_HAK_ASASI_MANUSIA_IMIGRASI_DAN_PEMASYARAKATAN,ARS-0003,menerbitkan,Stage3A
ARS-0004,Kat_SKKAAD,mengatur,Stage3A
ARS-0004,Pej_YANDRI_SUSANTO,ditetapkanOleh,Stage3A
ARS-0004,Tgl_2025-07-31,berlakuPada,Stage3A
ARS-0005,Kat_JRA,mengatur,Stage3A
ARS-0005,Pej_BUDI_SANTOSO,ditetapkanOleh,Stage3A
ARS-0005,Tgl_2025-03-10,berlakuPada,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0005,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0055,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0059,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0110,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0149,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0229,menerbitkan,Stage3A
Lem_KEMENTERIAN_PERDAGANGAN,ARS-0242,menerbitkan,Stage3A
ARS-0006,Kat_PK,mengatur,Stage3A
ARS-0006,Pej_SRI_MULYANI_INDRAWATI,ditetapkanOleh,Stage3A
ARS-0006,Tgl_2025-08-01,berlakuPada,Stage3A
Lem_KEMENTERIAN_KEUANGAN,ARS-0006,menerbitkan,Stage3A
Lem_KEMENTERIAN_KEUANGAN,ARS-0056,menerbitkan,Stage3A
Lem_KEMENTERIAN_KEUANGAN,ARS-0143,menerbitkan,Stage3A
Lem_KEMENTERIAN_KEUANGAN,ARS-0427,menerbitkan,Stage3A
ARS-0007,Kat_PK,mengatur,Stage3A
ARS-0007,Pej_MEGO_PINANDITO,ditetapkanOleh,Stage3A
ARS-0007,Tgl_2025-03-21,berlakuPada,Stage3A
Lem_ARSIP_NASIONAL,ARS-0007,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0010,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0011,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0013,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0022,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0024,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0037,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0060,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0063,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0065,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0073,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0095,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0096,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0099,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0102,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0162,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0163,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0168,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0194,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0195,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0196,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0197,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0198,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0199,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0201,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0203,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0205,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0207,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0211,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0216,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0218,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0248,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0250,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0251,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0252,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0253,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0254,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0255,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0257,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0258,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0260,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0262,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0263,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0266,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0268,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0269,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0270,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0274,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0275,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0276,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0277,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0278,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0280,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0304,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0305,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0308,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0309,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0310,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0311,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0312,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0313,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0314,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0315,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0316,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0317,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0318,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0319,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0320,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0321,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0322,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0323,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0324,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0325,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0326,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0327,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0329,menerbitkan,Stage3A
Lem_ARSIP_NASIONAL,ARS-0330,menerbitkan,Stage3A
