uri:ID,jenis,nomor,status,tahun,tentang,title,:LABEL
ARS-0205,PERATURAN BADAN/LEMBAGA,10,active,2018,Pedoman Pengisian Jabatan Pimpinan Tinggi Melalui Seleksi Terbuka di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 10 Tahun 2018,Peraturan
ARS-0206,PERATURAN BADAN/LEMBAGA,20,active,2018,Klasifikasi Arsip Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 20 Tahun 2018,Peraturan
ARS-0207,PERATURAN BADAN/LEMBAGA,9,active,2018,Pedoman Pemeliharaan Arsip Dinamis,Peraturan Arsip Nasional Nomor 9 Tahun 2018,Peraturan
ARS-0208,PERATURAN BADAN/LEMBAGA,21,active,2018,Jadwal Retensi Arsip Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 21 Tahun 2018,Peraturan
ARS-0209,PERATURAN BADAN/LEMBAGA,07,active,2018,Pelaksanaan Program Arsip Vital di Lingkungan Komisi Pemberantasan Korupsi,Peraturan Komisi Pemberantasan Korupsi Nomor 07 Tahun 2018,Peraturan
ARS-0210,PERATURAN BADAN/LEMBAGA,7,active,2018,Klasifikasi Arsip di Lingkungan Badan Standardisasi Nasional,Peraturan Badan Standardisasi Nasional Nomor 7 Tahun 2018,Peraturan
ARS-0211,PERATURAN BADAN/LEMBAGA,11,active,2018,Standar Pelayanan Jasa Kearsipan di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Arsip Nasional Nomor 11 Tahun 2018,Peraturan
ARS-0212,PERATURAN BADAN/LEMBAGA,32,active,2018,Sistem Klasifikasi Keamanan Arsip dan Akses Arsip Dinamis di Lingkungan Badan Pengawas Pemilihan Umum,Peraturan Badan Pengawas Pemilihan Umum Nomor 32 Tahun 2018,Peraturan
ARS-0213,PERATURAN BADAN/LEMBAGA,10,active,2018,Kode Klasifikasi Arsip di Lingkungan Badan Nasional Pengelola Perbatasan,Peraturan Badan Nasional Pengelola Perbatasan Nomor 10 Tahun 2018,Peraturan
ARS-0214,PERATURAN BADAN/LEMBAGA,9,active,2018,Klasifikasi Keamanan Arsip di Lingkungan Badan Nasional Pengelola Perbatasan,Peraturan Badan Nasional Pengelola Perbatasan Nomor 9 Tahun 2018,Peraturan
ARS-0215,PERATURAN BADAN/LEMBAGA,8,active,2018,Jadwal Retensi Arsip Badan Nasional Pengelola Perbatasan,Peraturan Badan Nasional Pengelola Perbatasan Nomor 8 Tahun 2018,Peraturan
ARS-0216,PERATURAN BADAN/LEMBAGA,15,active,2018,Pedoman Retensi Arsip Urusan Pekerjaan Umum dan Perumahan Rakyat,Peraturan Arsip Nasional Nomor 15 Tahun 2018,Peraturan
ARS-0217,PERATURAN BADAN/LEMBAGA,10,active,2018,Pedoman Sistem Klasifikasi Keamanan dan Akses Arsip di Lingkungan Badan Ekonomi Kreatif,Peraturan Badan Ekonomi Kreatif Nomor 10 Tahun 2018,Peraturan
ARS-0218,PERATURAN BADAN/LEMBAGA,14,active,2018,Standar Deskripsi Arsip Statis,Peraturan Arsip Nasional Nomor 14 Tahun 2018,Peraturan
ARS-0219,PERATURAN DAERAH,46,active,2018,PENGELOLAAN ARSIP DI LINGKUNGAN PEMERINTAH KOTA BOGOR,Peraturan Daerah Kota Bogor Nomor 46 Tahun 2018,Peraturan
ARS-0220,PERATURAN DAERAH,45,active,2018,PENYELAMATAN ARSIP PENGGABUNGAN ATAU PEMBUBARAN PERANGKAT DAERAH DAN BADAN USAHA MILIK DAERAH DI LINGKUNGAN PEMERINTAHAN KOTA BOGOR,Peraturan Daerah Kota Bogor Nomor 45 Tahun 2018,Peraturan
ARS-0221,PERATURAN DAERAH,3,active,2018,Penyelenggaraan Kearsipan,Peraturan Daerah Kota Banjarbaru Nomor 3 Tahun 2018,Peraturan
ARS-0222,PERATURAN DAERAH,47,active,2018,PEDOMAN PENGELOLAAN ARSIP INAKTIF DI LINGKUNGAN PEMERINTAH KOTA BOGOR,Peraturan Daerah Kota Bogor Nomor 47 Tahun 2018,Peraturan
ARS-0223,PERATURAN DAERAH,9,active,2018,Penyelenggaraan Kearsipan,Peraturan Daerah Kabupaten Blora Nomor 9 Tahun 2018,Peraturan
ARS-0224,PERATURAN DAERAH,8,active,2018,PENYELENGGARAAN KEARSIPAN,Peraturan Daerah Kabupaten Luwu Timur Nomor 8 Tahun 2018,Peraturan
ARS-0225,PERATURAN DAERAH,8,active,2018,Penyelenggaraan Kearsipan,Peraturan Daerah Kabupaten Blitar Nomor 8 Tahun 2018,Peraturan
ARS-0226,PERATURAN PRESIDEN,118,unknown,2018,Tunjangan Kinerja Pegawai di Lingkungan Arsip Nasional Republik Indonesia,Peraturan Presiden Nomor 118 Tahun 2018,Peraturan
ARS-0227,PERATURAN MENTERI,77,active,2017,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Kesehatan,Peraturan Menteri Kesehatan Nomor 77 Tahun 2017,Peraturan
ARS-0228,PERATURAN MENTERI,41,active,2017,JADWAL RETENSI ARSIP KEUANGAN DI LINGKUNGAN KEMENTERIAN PERTAHANAN,Peraturan Menteri Pertahanan Nomor 41 Tahun 2017,Peraturan
ARS-0229,PERATURAN MENTERI,05/M-DAG/PER/2/2017,active,2017,"Jadwal Retensi Arsip Substantif  Bidang Perundingan Perdagangan Internasional,  Bidang Pengembangan Ekspor Nasional, dan  Bidang Pengawasan Perdagangan Berjangka Komoditi",Peraturan Menteri Perdagangan Nomor 05/M-DAG/PER/2/2017 Tahun 2017,Peraturan
ARS-0230,PERATURAN MENTERI,1,active,2017,"Pola Klasifikasi Arsip di Lingkungan Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi","Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 1 Tahun 2017",Peraturan
